,location,total_cases_per_million,lat,long
127,Mexico,834501.35,23.634501,-102.552784
128,Moldova,1848090.82,47.411631,28.369884999999996
129,Monaco,932881.45,43.750298,7.412841
130,Mongolia,17159.55,46.862496,103.84665600000001
131,Montenegro,2304743.82,42.708678000000006,19.37439
132,Montserrat,567713.52,16.742498,-62.187366000000004
133,Morocco,445276.63,31.791702,-7.09262
134,Mozambique,31199.1,-18.665695,35.529562
135,Myanmar,49097.63,0.0,0.0
136,Namibia,448435.92,-22.957639999999998,18.49041
137,Nepal,400608.01,28.394857000000002,84.12400799999999
138,Netherlands,1528475.82,52.132633,5.291266
139,New Caledonia,19268.52,-20.904304999999997,165.618042
140,New Zealand,64234.55,-40.900557,174.88597099999998
141,Nicaragua,108540.59,12.865416,-85.207229
142,Niger,10076.77,17.607789,8.081666
143,Nigeria,40438.16,9.081999,8.675277000000001
144,Northern Mariana Islands,193929.49,17.33083,145.38468999999998
145,Norway,514826.67,60.472024,8.468946
146,Oman,2770025.47,21.512583,55.923255000000005
147,Pakistan,225350.53,30.375321000000003,69.345116
148,Palestine,1112029.67,0.0,0.0
149,Panama,3524382.31,8.537981,-80.782127
150,Papua New Guinea,6344.1,-6.314993,143.95555
151,Paraguay,640753.84,-23.442503,-58.44383199999999
152,Peru,3240557.11,-9.189967,-75.015152
153,Philippines,328978.17,12.879721,121.77401699999999
154,Poland,696310.85,51.919438,19.145135999999997
155,Portugal,1490072.43,39.399871999999995,-8.224454
156,Puerto Rico,2112380.28,18.220833,-66.590149
157,Qatar,7298372.48,25.354826,51.183884
158,Romania,1074918.85,45.943160999999996,24.96676
159,Russia,1326074.34,61.52401,105.31875600000001
160,Rwanda,44195.71,-1.940278,29.873888
161,Saint Kitts and Nevis,73544.9,17.357822,-62.782998
162,Saint Lucia,46169.19,13.909444,-60.97889300000001
163,Saint Vincent and the Grenadines,94468.52,12.984305,-61.287228000000006
164,San Marino,5063291.9,43.94236,12.457777
165,Sao Tome and Principe,708702.72,0.0,0.0
166,Saudi Arabia,1459440.38,23.885942,45.079162
167,Senegal,127517.19,14.497401000000002,-14.452361999999999
168,Serbia,910192.17,44.016521000000004,21.005859
169,Seychelles,205135.27,-4.679574,55.491977
170,Sierra Leone,44050.86,8.460555000000001,-11.779889
171,Singapore,1747362.69,1.352083,103.819836
172,Sint Maarten (Dutch part),1828692.68,0.0,0.0
173,Slovakia,569728.1,48.669026,19.699023999999998
174,Slovenia,936412.06,46.151241,14.995463
175,Solomon Islands,572.16,-9.645710000000001,160.156194
176,Somalia,40029.22,5.152149,46.199616
177,South Africa,1495761.48,-30.559482,22.937506
178,South Korea,83771.64,35.907757000000004,127.766922
179,South Sudan,38993.97,0.0,0.0
180,Spain,2539866.47,40.463667,-3.7492199999999998
181,Sri Lanka,41647.96,7.873054,80.77179699999999
182,Sudan,49275.87,12.862807,30.217636
183,Suriname,922994.55,3.9193050000000005,-56.02778299999999
184,Swaziland,563329.84,-26.522503000000004,31.465866
185,Sweden,1678729.35,60.128161,18.643501
186,Switzerland,1651270.57,46.818188,8.227511999999999
187,Syria,27470.34,34.802075,38.996815000000005
188,Taiwan,4921.64,23.69781,120.96051499999999
189,Tajikistan,158307.99,38.861034000000004,71.276093
190,Tanzania,1830.45,-6.369028,34.888822
191,Thailand,11306.35,15.870032,100.992541
192,Timor,4353.59,0.0,0.0
193,Togo,30867.39,8.619543,0.824782
194,Trinidad and Tobago,306337.8,10.691803,-61.222503
195,Tunisia,280371.53,33.886917,9.537499
196,Turkey,653069.18,38.963745,35.243322
197,Turks and Caicos Islands,1789839.34,21.694025,-71.797928
198,Uganda,20385.19,1.373333,32.290275
199,Ukraine,715624.44,48.379433,31.16558
200,United Arab Emirates,1525563.27,23.424076,53.847818000000004
201,United Kingdom,1457481.61,55.378051,-3.435973
202,United States,3296151.03,37.09024,-95.712891
203,United States Virgin Islands,1411614.3,0.0,0.0
204,Uruguay,103786.51,-32.522779,-55.765834999999996
205,Uzbekistan,203140.53,41.377491,64.585262
206,Vanuatu,42.33,-15.376706,166.959158
207,Vatican,4110012.33,0.0,0.0
208,Venezuela,285378.48,6.42375,-66.58973
209,Vietnam,1697.01,14.058323999999999,108.277199
210,Wallis and Futuna,3734.68,-13.768752,-177.156097
211,Western Sahara,183945.21,24.215526999999998,-12.885834
212,World,622942.65,0.0,0.0
213,Yemen,10103.96,15.552726999999999,48.516388
214,Zambia,93262.46,-13.133897,27.849332
215,Zimbabwe,60089.85,-19.015438,29.154857
